target,name,tier,index,gamma,diff,precision_pct,norm_precision
252,36 × dim(K₇),4,109,251.014947795,-0.9850522049999881,0.3908937321428525,0.5787464925001662
255,dim(E₈) + dim(K₇),3,111,255.306256455,0.3062564550000104,0.12010057058823938,0.18051131058965716
256,2⁸,3,112,256.380713694,0.38071369400000776,0.14871628671875303,0.2246344732328609
259,37 × dim(K₇),4,113,258.610439492,-0.3895605079999882,0.150409462548258,0.2305767485954717
262,dim(E₈) + dim(G₂),3,115,260.805084505,-1.1949154949999752,0.45607461641220426,0.7094480150682352
266,38 × dim(K₇),4,117,265.557851839,-0.44214816099997734,0.1662211131578862,0.26357947105724755
273,39 × dim(K₇),4,122,273.459609188,0.4596091880000017,0.16835501391941457,0.27588866251913347
280,40 × dim(K₇),4,126,279.229250928,-0.770749072000001,0.2752675257142861,0.4657616592700027
287,41 × dim(K₇),4,130,286.667445363,-0.332554636999987,0.1158726958188108,0.20226882561417622
294,42 × dim(K₇),4,134,293.558434139,-0.44156586100001505,0.1501924697278963,0.2702659465328116
301,43 × dim(K₇),4,139,301.649325462,0.6493254619999789,0.2157227448504913,0.399859547549337
308,44 × dim(K₇),4,143,307.219496128,-0.780503871999997,0.25341034805194707,0.4834959900822003
315,45 × dim(K₇),4,148,315.475616089,0.4756160890000274,0.1509892346031833,0.2963293467806586
322,46 × dim(K₇),4,152,322.144558672,0.14455867200001649,0.04489399751553307,0.09057196421532436
329,47 × dim(K₇),4,156,329.03307168,0.03307167999997773,0.0100521823708139,0.020833968532733883
336,48 × dim(K₇),4,161,336.841850428,0.8418504279999866,0.25055072261904365,0.533156314989248
343,49 × dim(K₇),4,165,342.05487751,-0.945122490000017,0.2755459154519,0.60166160984238
350,50 × dim(K₇),4,170,350.408419349,0.4084193489999848,0.11669124257142423,0.26131151799049224
357,51 × dim(K₇),4,174,357.151302252,0.1513022519999936,0.042381583193275514,0.09728182307449745
364,52 × dim(K₇),4,178,363.331330579,-0.6686694210000041,0.18370039038461652,0.4319965329136346
371,53 × dim(K₇),4,183,370.050919212,-0.9490807880000034,0.25581692398921924,0.6160346562895288
