target,name,tier,formula,index,gamma,precision,precision_pct
154,22×7,4,22 × dim(K₇),703,153.9936828753,4.1020290259675436e-05,0.004102029025967543
602,86×7,4,86 × dim(K₇),3231,602.02496532,4.1470631229200035e-05,0.0041470631229200035
784,112×7,4,112 × dim(K₇),5367,784.03254175,4.150733418361007e-05,0.0041507334183610075
847,121×7,4,121 × dim(K₇),6109,847.03703847,4.3729008264427866e-05,0.0043729008264427865
721,103×7,4,103 × dim(K₇),4627,721.032456,4.501525658810636e-05,0.004501525658810636
938,134×7,4,134 × dim(K₇),7181,937.9577442222,4.504880362478781e-05,0.004504880362478781
280,40×7,4,40 × dim(K₇),1310,279.9865239437,4.812877250007627e-05,0.004812877250007627
707,101×7,4,101 × dim(K₇),4463,706.96581771,4.834835926448336e-05,0.0048348359264483365
686,98×7,4,98 × dim(K₇),4215,685.96650823,4.8821822157368904e-05,0.004882182215736891
1057,151×7,4,151 × dim(K₇),8585,1057.05160671,4.882375591294918e-05,0.004882375591294918
1323,189×7,4,189 × dim(K₇),11731,1323.06574469,4.969364323505221e-05,0.004969364323505221
910,130×7,4,130 × dim(K₇),6851,910.04535363,4.9839153846178406e-05,0.00498391538461784
735,105×7,4,105 × dim(K₇),4792,735.03696136,5.028756462580117e-05,0.005028756462580117
777,111×7,4,111 × dim(K₇),5285,776.96039781,5.096806949804675e-05,0.005096806949804676
1274,182×7,4,182 × dim(K₇),11149,1274.06530045,5.125624018837926e-05,0.0051256240188379265
1022,146×7,4,146 × dim(K₇),8172,1022.0532625844,5.2116031702588004e-05,0.0052116031702588005
448,64×7,4,64 × dim(K₇),2072,448.0235408936,5.254663749999976e-05,0.005254663749999976
1351,193×7,4,193 × dim(K₇),12061,1350.9289416403,5.259686136189384e-05,0.005259686136189384
1036,148×7,4,148 × dim(K₇),8336,1036.05466822,5.276855212349376e-05,0.005276855212349376
1099,157×7,4,157 × dim(K₇),9081,1099.05918002,5.384897179252524e-05,0.005384897179252524
693,99×7,4,99 × dim(K₇),4299,693.03773036,5.444496392489899e-05,0.005444496392489899
896,128×7,4,128 × dim(K₇),6686,896.04913453,5.483764508922613e-05,0.005483764508922613
728,104×7,4,104 × dim(K₇),4709,727.96006804,5.485159340657951e-05,0.005485159340657951
539,77×7,4,77 × dim(K₇),2495,538.97012909,5.541912801484163e-05,0.005541912801484163
455,65×7,4,65 × dim(K₇),2104,454.974683769,5.56400681318167e-05,0.00556400681318167
392,56×7,4,56 × dim(K₇),1816,392.0218402762,5.571499030614697e-05,0.005571499030614697
630,90×7,4,90 × dim(K₇),3559,630.03531428,5.6054412698358644e-05,0.005605441269835865
861,123×7,4,123 × dim(K₇),6274,860.9491908363,5.901180452964392e-05,0.005901180452964392
875,125×7,4,125 × dim(K₇),6438,874.94758763,5.989985142852155e-05,0.005989985142852155
1064,152×7,4,152 × dim(K₇),8666,1063.93429153,6.17560808269647e-05,0.00617560808269647
945,135×7,4,135 × dim(K₇),7263,944.93540807,6.835124867725499e-05,0.006835124867725499
504,72×7,4,72 × dim(K₇),2329,504.0357435422,7.091972658732026e-05,0.007091972658732026
378,54×7,4,54 × dim(K₇),1752,377.9727832391,7.200201296293484e-05,0.0072002012962934835
1176,168×7,4,168 × dim(K₇),9990,1175.9153028544,7.202138231301266e-05,0.007202138231301267
385,55×7,4,55 × dim(K₇),1785,384.972173294,7.227715844151902e-05,0.007227715844151902
966,138×7,4,138 × dim(K₇),7510,965.9265619894,7.602278530014853e-05,0.007602278530014853
1043,149×7,4,149 × dim(K₇),8419,1042.9191969567,7.747175771808801e-05,0.007747175771808801
420,60×7,4,60 × dim(K₇),1944,419.9672685321,7.793206642862147e-05,0.007793206642862148
434,62×7,4,62 × dim(K₇),2009,433.9634877693,8.412956382487989e-05,0.008412956382487988
644,92×7,4,92 × dim(K₇),3723,643.94440875,8.632181677021803e-05,0.008632181677021802
854,122×7,4,122 × dim(K₇),6191,853.92374661,8.928968384078865e-05,0.008928968384078865
1001,143×7,4,143 × dim(K₇),7922,1000.90840619,9.150230769225711e-05,0.009150230769225711
700,100×7,4,100 × dim(K₇),4380,699.93436143,9.376938571433259e-05,0.009376938571433258
427,61×7,4,61 × dim(K₇),1976,427.0401401477,9.400502974242377e-05,0.009400502974242376
959,137×7,4,137 × dim(K₇),7427,958.9097053036,9.415505359744644e-05,0.009415505359744643
511,73×7,4,73 × dim(K₇),2361,511.0504265672,9.868212759299441e-05,0.00986821275929944
196,28×7,4,28 × dim(K₇),911,196.0199017242,0.00010153940918365718,0.010153940918365717
651,93×7,4,93 × dim(K₇),3807,651.0665775143,0.00010226960721963004,0.010226960721963003
812,116×7,4,116 × dim(K₇),5697,811.9134706826,0.00010656319876853434,0.010656319876853433
168,24×7,4,24 × dim(K₇),772,167.9814836794,0.0001102161940477028,0.01102161940477028
496,dim(E₈×E₈),2,heterotic dimension,2292,496.0547522382,0.00011038757701617709,0.01103875770161771
588,84×7,4,84 × dim(K₇),3067,587.93345896,0.00011316503401351585,0.011316503401351584
315,45×7,4,45 × dim(K₇),1467,314.9640103546,0.00011425284253961749,0.011425284253961748
581,83×7,4,83 × dim(K₇),2985,580.9295034137,0.00012133663734941441,0.01213366373494144
126,18×7,4,18 × dim(K₇),567,126.0153196203,0.00012158428809527777,0.012158428809527777
126,|Roots(E₇)|,2,E₇ root count,567,126.0153196203,0.00012158428809527777,0.012158428809527777
413,59×7,4,59 × dim(K₇),1912,412.9473956378,0.0001273713370459712,0.01273713370459712
462,66×7,4,66 × dim(K₇),2137,462.065367275,0.00014148760822516938,0.014148760822516938
469,67×7,4,67 × dim(K₇),2168,468.9333292296,0.000142155160767549,0.0142155160767549
371,53×7,4,53 × dim(K₇),1722,371.0588764674,0.00015869667762806399,0.0158696677628064
252,36×7,4,36 × dim(K₇),1184,252.0421357876,0.00016720550634916198,0.016720550634916197
49,7×7,4,7 × dim(K₇),202,49.0085410833,0.0001743078224490323,0.017430782244903232
490,70×7,4,70 × dim(K₇),2265,490.0870431488,0.00017763907918362878,0.017763907918362878
406,58×7,4,58 × dim(K₇),1881,406.0779368066,0.0001919625778325307,0.019196257783253068
231,33×7,4,33 × dim(K₇),1085,230.951735843,0.0002089357445887685,0.02089357445887685
210,30×7,4,30 × dim(K₇),982,210.0455350634,0.00021683363523807418,0.021683363523807418
399,57×7,4,57 × dim(K₇),1848,398.9106671161,0.00022389193959899538,0.02238919395989954
287,41×7,4,41 × dim(K₇),1341,286.934009051,0.0002299336202091448,0.02299336202091448
441,63×7,4,63 × dim(K₇),2040,441.1122119663,0.00025444890317455956,0.025444890317455955
273,39×7,4,39 × dim(K₇),1278,273.0715682288,0.0002621546842490986,0.02621546842490986
476,68×7,4,68 × dim(K₇),2200,475.869203763,0.0002747820105042581,0.02747820105042581
301,43×7,4,43 × dim(K₇),1404,300.9171750316,0.00027516600797348307,0.027516600797348308
350,50×7,4,50 × dim(K₇),1626,350.104205613,0.00029773032285707556,0.029773032285707556
336,48×7,4,48 × dim(K₇),1562,335.8942263866,0.0003148024208333446,0.03148024208333446
140,20×7,4,20 × dim(K₇),634,139.9546091499,0.00032422035785718405,0.03242203578571841
