observable,formula,experimental,theoretical,deviation_pct,prime_factors,category
D_H,(2^1 × 17^1) / (2^3 × 5^1),0.85622,0.85,0.7264488098853102,"num: 2 × 17, den: 2^3 × 5",prime_ratio
D_H,(5^1 × 17^1) / (2^2 × 5^2),0.85622,0.85,0.7264488098853102,"num: 5 × 17, den: 2^2 × 5^2",prime_ratio
D_H,(5^2 × 17^1) / (2^2 × 5^3),0.85622,0.85,0.7264488098853102,"num: 5^2 × 17, den: 2^2 × 5^3",prime_ratio
D_H,(2^4 × 13^1) / (5^1 × 7^2),0.85622,0.8489795918367347,0.8456247416861696,"num: 2^4 × 13, den: 5 × 7^2",prime_ratio
D_H,(2^1 × 19^1) / (2^2 × 11^1),0.85622,0.8636363636363636,0.8661750059988864,"num: 2 × 19, den: 2^2 × 11",prime_ratio
D_H,(2^2 × 19^1) / (2^3 × 11^1),0.85622,0.8636363636363636,0.8661750059988864,"num: 2^2 × 19, den: 2^3 × 11",prime_ratio
D_H,(11^1 × 19^1) / (2^1 × 11^2),0.85622,0.8636363636363636,0.8661750059988864,"num: 11 × 19, den: 2 × 11^2",prime_ratio
D_H,(11^2 × 19^1) / (2^1 × 11^3),0.85622,0.8636363636363636,0.8661750059988864,"num: 11^2 × 19, den: 2 × 11^3",prime_ratio
D_H,(5^4 × 19^2) / (11^2 × 13^3),0.85622,0.8487343748236701,0.874264228391055,"num: 5^4 × 19^2, den: 11^2 × 13^3",prime_ratio
D_H,(2^2 × 7^1) / (3^1 × 11^1),0.85622,0.8484848484848485,0.9034070116502152,"num: 2^2 × 7, den: 3 × 11",prime_ratio
D_H,(2^2 × 3^4) / (3^1 × 5^3),0.85622,0.864,0.9086449744224626,"num: 2^2 × 3^4, den: 3 × 5^3",prime_ratio
D_H,(2^3 × 3^3) / (2^1 × 5^3),0.85622,0.864,0.9086449744224626,"num: 2^3 × 3^3, den: 2 × 5^3",prime_ratio
D_H,(2^4 × 3^3) / (2^2 × 5^3),0.85622,0.864,0.9086449744224626,"num: 2^4 × 3^3, den: 2^2 × 5^3",prime_ratio
D_H,(7^1 × 11^3) / (5^1 × 13^3),0.85622,0.84815657715066,0.9417466129429387,"num: 7 × 11^3, den: 5 × 13^3",prime_ratio
D_H,(3^3 × 19^1) / (5^1 × 11^2),0.85622,0.8479338842975207,0.9677554486556352,"num: 3^3 × 19, den: 5 × 11^2",prime_ratio
D_H,(3^4 × 7^4) / (11^3 × 13^2),0.85622,0.8645944011487559,0.9780665189736134,"num: 3^4 × 7^4, den: 11^3 × 13^2",prime_ratio
D_H,(5^1 × 19^4) / (7^3 × 13^3),0.85622,0.8646895912926585,0.9891840055895171,"num: 5 × 19^4, den: 7^3 × 13^3",prime_ratio
H_0,(3^2 × 5^4) / (7^1 × 11^1),73.04,73.05194805194805,0.01635823103510275,"num: 3^2 × 5^4, den: 7 × 11",prime_ratio
H_0,(3^2 × 19^3) / (5^1 × 13^2),73.04,73.05443786982248,0.019767072593746916,"num: 3^2 × 19^3, den: 5 × 13^2",prime_ratio
H_0,(3^4 × 7^4) / (2^1 × 11^3),73.04,73.05822689706987,0.024954678354142657,"num: 3^4 × 7^4, den: 2 × 11^3",prime_ratio
H_0,73/1,73.04,73.0,0.05476451259584645,73/1,simple_ratio
H_0,73/1,73.04,73.0,0.05476451259584645,146/2,simple_ratio
H_0,(11^4 × 17^2) / (7^3 × 13^2),73.04,72.99410009143133,0.06284215302392021,"num: 11^4 × 17^2, den: 7^3 × 13^2",prime_ratio
H_0,(3^2 × 17^3) / (5^1 × 11^2),73.04,73.08595041322315,0.06291129959356345,"num: 3^2 × 17^3, den: 5 × 11^2",prime_ratio
H_0,(13^1 × 17^3) / (5^3 × 7^1),73.04,72.99314285714286,0.0641527147551333,"num: 13 × 17^3, den: 5^3 × 7",prime_ratio
H_0,(5^4 × 19^2) / (3^2 × 7^3),73.04,73.08875931324911,0.06675700061487827,"num: 5^4 × 19^2, den: 3^2 × 7^3",prime_ratio
