observable,formula,predicted,experimental,deviation_pct,uncertainty,complexity,n_params,log_likelihood,bic,aic,r2,r2_adj,p_value_raw,n_tests,p_value_corrected,quality_score,significance,source
m_H_over_m_W,4.669202 / 3,1.5564010000,1.5582430000,0.1182000000,,3,1,,,,0.9999986029,0.9999985630,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
Omega_DE,sqrt(4.669202 × 2.502908) / 5,0.6837130000,0.6847000000,0.1442000000,,6,3,,,,0.9999979206,0.9999977316,,148,1.0000000000,0.0000000000,not_significant,feigenbaum
Omega_DM,4.669202 / 39,0.1197230000,0.1200000000,0.2307000000,,3,1,,,,0.9999946778,0.9999945257,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
theta_23,arctan(4.669202 / 4),49.4140790000,49.2000000000,0.4351000000,,5,2,,,,0.9999810688,0.9999799552,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
theta_23_CKM,(4.669202 + 2.502908) / 3,2.3907030000,2.3800000000,0.4497000000,,5,2,,,,0.9999797770,0.9999785874,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
tan_theta_23,4.669202 / 4,1.1673000000,1.1585110000,0.7587000000,,3,1,,,,0.9999424374,0.9999407928,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
theta_C_Cabibbo,arctan(4.669202 / 20),13.1409090000,13.0400000000,0.7738000000,,5,2,,,,0.9999401234,0.9999366012,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
theta_12,arctan(4.669202 / 7),33.7044300000,33.4400000000,0.7908000000,,5,2,,,,0.9999374635,0.9999337849,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
tan_theta_C,4.669202 / 20,0.2334600000,0.2316040000,0.8016000000,,3,1,,,,0.9999357437,0.9999339079,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
lambda_H,4.669202 / 36,0.1297000000,0.1286000000,0.8554000000,,3,1,,,,0.9999268291,0.9999247385,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
tan_theta_12,4.669202 / 7,0.6670290000,0.6603810000,1.0067000000,,3,1,,,,0.9998986555,0.9998957600,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
m_H_over_m_Z,2.502908^(1/3),1.3577350000,1.3735420000,1.1508000000,,5,2,,,,0.9998675659,0.9998597757,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
m_t_over_m_H,2.502908^(1/3),1.3577350000,1.3772460000,1.4166000000,,5,2,,,,0.9997993244,0.9997875200,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
m_H_over_m_W,sqrt(2.502908),1.5820580000,1.5582430000,1.5283000000,,2,1,,,,0.9997664299,0.9997597565,,37,1.0000000000,0.0000000000,not_significant,feigenbaum
m_chi2_over_m_chi1,2.502908^1.5,3.9597460000,3.8972380000,1.6039000000,,3,1,,,,0.9997427505,0.9997354005,,37,1.0000000000,0.0000000000,not_significant,feigenbaum
m_W_over_m_Z,(4.669202 + 2.502908) / 8,0.8965140000,0.8814690000,1.7068000000,,5,2,,,,0.9997086834,0.9996915471,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
m_H_over_m_W,1.584963,1.5849630000,1.5582430000,1.7147000000,,1,1,,,,0.9997059804,0.9996975798,,37,1.0000000000,0.0000000000,not_significant,feigenbaum
Q_Koide,sqrt(4.669202 × 2.502908) / 5,0.6837130000,0.6667000000,2.5518000000,,6,3,,,,0.9993488317,0.9992896346,,148,1.0000000000,0.0000000000,not_significant,feigenbaum
Omega_DE,4.669202 / 7,0.6670290000,0.6847000000,2.5809000000,,3,1,,,,0.9993338955,0.9993148640,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
θ₁₃,10 × ζ(5)/ζ(3),8.6262780000,8.5700000000,0.6566910000,,5,2,,,,0.9999568757,0.9999543390,,1480,1.0000000000,0.0000000000,not_significant,zeta_ratio
m_b/m_c,e × ζ(3)/ζ(21),3.2674800000,3.2900000000,0.6845140000,,4,2,,,,0.9999531441,0.9999503878,,1480,1.0000000000,0.0000000000,not_significant,zeta_ratio
n_s,4.669202 / 5,0.9338400000,0.9649000000,3.2190000000,,3,1,,,,0.9989638039,0.9989341983,,74,1.0000000000,0.0000000000,not_significant,feigenbaum
