manifold,b2,b3,H_star,source,gift_prediction,n_points,seed,lambda_0,lambda_1,lambda_1_times_H,sigma_mean,status
Joyce_2,8,47,56,Joyce,0.25,2000,0,0.0003219490703906011,0.1712866489284532,9.592052339993378,2.420092588292713,ok
Joyce_2,8,47,56,Joyce,0.25,2000,1,0.0013870709096709438,0.17726329499895055,9.92674451994123,2.425817827845059,ok
Joyce_2,8,47,56,Joyce,0.25,2000,2,-0.002428011034779391,0.1707467459424546,9.561817772777458,2.424215477635549,ok
Joyce_2,8,47,56,Joyce,0.25,5000,0,-0.00029883025299267345,0.12881420909598518,7.21359570937517,2.2920494353995786,ok
Joyce_2,8,47,56,Joyce,0.25,5000,1,-0.00014055472872992366,0.12842608049982546,7.191860507990226,2.2947235549370353,ok
Joyce_2,8,47,56,Joyce,0.25,5000,2,0.0002315559333367469,0.12582855366329224,7.046399005144365,2.2940442617583137,ok
Joyce_3,9,45,55,Joyce,0.2545454545454545,1000,0,0.0015059850098210678,0.21780302959713135,11.979166627842224,2.568414202624389,ok
Joyce_3,9,45,55,Joyce,0.2545454545454545,1000,1,-0.0033218731450863157,0.21688032031237736,11.928417617180754,2.5827983895825737,ok
Joyce_3,9,45,55,Joyce,0.2545454545454545,1000,2,0.005590599930236388,0.21033785492560805,11.568582020908442,2.5774398700423764,ok
Joyce_3,9,45,55,Joyce,0.2545454545454545,2000,0,0.0030702924450449207,0.17098624790960076,9.404243635028042,2.413871105911945,ok
Joyce_3,9,45,55,Joyce,0.2545454545454545,2000,1,0.0005672587063613374,0.17621003670843366,9.69155201896385,2.419581627235256,ok
Joyce_3,9,45,55,Joyce,0.2545454545454545,2000,2,0.0006721964982026571,0.17076635586660233,9.392149572663127,2.4179833962869863,ok
Joyce_3,9,45,55,Joyce,0.2545454545454545,5000,0,0.0005267896890682215,0.12897199948049912,7.0934599714274515,2.2861571215074696,ok
Joyce_3,9,45,55,Joyce,0.2545454545454545,5000,1,7.788206400132808e-05,0.12859923622916397,7.072957992604018,2.2888243665196844,ok
