N,k,seed,H_star,ratio,alpha_s1,sigma_factor,mix_mode,lambda1,product,elapsed,cluster
5000,46,4269,31,1.4373212839882525,0.584454913522756,0.6782268744021078,standard,0.17369664416153122,5.384595969007468,1.9941332340240479,1
5000,29,9577,156,1.862078854193818,0.8562597069387049,1.1003343393080374,standard,0.11309181024437,17.64232239812172,1.9842660427093506,0
5000,58,7577,177,0.9471916770389053,1.944833809160917,0.5182317120347245,standard,0.04664293042116683,8.255798684546528,1.9839680194854736,3
5000,97,1853,84,0.5868015665963455,1.886964995335394,1.878673572917989,standard,0.01487639426479034,1.2496171182423885,2.0275349617004395,3
5000,40,6191,136,1.8914973779692343,1.1818115971516598,1.4413371201260952,standard,0.13499194690031197,18.358904778442426,1.9906060695648193,0
5000,66,2704,155,2.3305086833382127,1.9380536111117692,0.586795846636561,standard,0.11644926626505067,18.049636271082854,2.0283074378967285,2
5000,51,7576,135,1.0547623659622654,0.782181739585642,1.1955476074099733,standard,0.15158196360943033,20.463565087273093,2.0118632316589355,0
5000,48,540,43,2.448789615332333,1.9793161167194042,1.5472425710296176,standard,0.10848317048205884,4.664776330728531,1.9969854354858398,1
5000,62,6133,168,1.8694623451077585,0.743925409017337,1.8663907767407637,standard,0.15091196946730182,25.353210870506704,2.0614283084869385,2
5000,85,5714,100,1.6623252423616526,1.8787648277533393,0.6241226300529592,standard,0.2024013934548435,20.24013934548435,2.0212318897247314,2
5000,90,7419,37,0.552733948994504,1.0646950503170745,1.7158299961727494,standard,0.01939133707064428,0.7174794716138384,2.029543161392212,3
5000,98,7450,94,2.4398287956292064,1.7631783847035631,1.7574930570667067,standard,0.1435660215437342,13.495206025111017,2.059664487838745,1
5000,57,7267,52,0.5273439296539946,0.6130385905286935,1.537571595753368,standard,0.021437006062599934,1.1147243152551964,1.9983925819396973,3
5000,62,9861,199,1.610863411205255,1.6534811227707658,1.917148594823642,standard,0.20549160719556278,40.89282983191699,2.015573501586914,2
5000,87,7246,64,1.002884879023597,0.9120976955388631,0.8108414735120847,standard,0.13310432742122355,8.518676954958307,2.0748000144958496,3
5000,90,3420,75,0.5443694840606033,1.2472477799688395,1.2143160451835213,standard,0.01640575318546031,1.2304314889095231,2.0339653491973877,3
5000,86,4364,168,2.435947530879646,0.6326123350484698,1.6877267592044494,standard,0.13466565396004962,22.623829865288336,2.0406715869903564,2
5000,67,2815,34,2.0102745113472382,1.4304643270301969,1.5561196521488354,standard,0.14949585838618543,5.082859185130305,2.02521014213562,1
5000,37,6882,89,1.6798353737092662,1.0883660676495985,1.1562123830355935,standard,0.14979878255604417,13.332091647487932,1.9946188926696777,1
5000,92,1332,123,1.4018208948322088,1.8657069176049095,0.9469391773129257,standard,0.22428309015893655,27.586820089549196,2.0453941822052,2
5000,61,2181,165,1.4186936158923449,1.7631371225280645,1.6533766119730962,standard,0.21192921803318987,34.96832097547633,2.0042901039123535,2
5000,25,4165,196,1.4852361879857392,0.9931274154312624,1.4501012814750887,standard,0.15649133332247944,30.672301331205972,1.980912685394287,0
5000,39,1907,121,1.420238317967144,1.3771491589237306,1.100450733365422,standard,0.20195200268243527,24.436192324574666,1.98612380027771,0
5000,75,9092,60,1.1913345666477264,1.8451826148590178,1.2109424603943086,standard,0.1291629697384872,7.749778184309232,2.014883518218994,3
5000,73,6778,68,2.1435812736888984,1.0176239417335802,1.0214288217240253,standard,0.13898404544225787,9.450915090073535,2.0391504764556885,1
5000,22,6982,50,1.4215575360654515,0.8095005776086888,1.046404791572113,standard,0.1510777990713171,7.5538899535658555,1.9884798526763916,1
5000,60,7241,45,1.4622907881125864,1.5316770756441245,1.267485520320892,standard,0.2229568389625978,10.033057753316902,2.0106027126312256,1
5000,32,4144,40,1.0537552962944075,1.709301919689592,1.6223895355754876,standard,0.067554949894087,2.70219799576348,1.967165470123291,3
5000,34,303,92,1.4690459703820427,1.427382157295444,1.0533704593546587,standard,0.18109699108834096,16.66092318012737,1.9840848445892334,0
5000,57,365,40,0.7954781838124534,0.6996753928812174,1.5307482581049967,standard,0.07060744892167968,2.8242979568671873,1.9862666130065918,3
5000,87,6507,120,0.7143440226795521,1.171118550235182,1.2989258996825348,standard,0.03695046863621583,4.434056236345899,2.011223077774048,3
5000,39,8153,155,0.8645677569519161,1.3459476380282545,1.7610649788168966,standard,0.04750653208427771,7.363512473063045,2.0134503841400146,3
5000,27,126,50,2.28105456147979,1.390388680331073,1.5186534787167343,standard,0.09335113333428233,4.667556666714116,1.989689588546753,1
5000,83,9362,44,1.5742130836370956,1.3802616770313187,1.6181592112764949,standard,0.2192199561100951,9.645678068844184,2.028531074523926,1
5000,54,6739,94,1.1748936677438362,1.8494710957175184,1.4113328334403592,standard,0.11203481720353883,10.53127281713265,1.9962217807769775,3
5000,39,877,86,2.367383647519749,0.5113015447011121,0.8379991965687923,standard,0.09666623905728677,8.313296558926663,1.9955058097839355,1
5000,49,6768,57,0.8731340481026115,0.9276427530407707,0.7600603929421322,standard,0.06863993681982251,3.912476398729883,1.9829506874084473,3
